ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Forma_de_venda,Região
250,2024-12-09,Curitiba,Smartphone Samsung,2200.0,2,Cliente_18062,4400.0,Presencial,Sul
257,2024-06-28,Curitiba,Mouse Gamer,120.0,1,Cliente_12233,120.0,Presencial,Sul
271,2023-03-25,Curitiba,Teclado Mecânico,250.0,1,Cliente_8331,250.0,Presencial,Sul
278,2024-05-06,Curitiba,Teclado Mecânico,250.0,1,Cliente_2349,250.0,Presencial,Sul
282,2023-08-19,Curitiba,iPhone 14,5500.0,1,Cliente_17094,5500.0,Presencial,Sul
290,2024-11-23,Curitiba,Cabo HDMI,40.0,1,Cliente_2146,40.0,Presencial,Sul
298,2023-01-12,Curitiba,Mouse Gamer,120.0,1,Cliente_3440,120.0,Presencial,Sul
306,2023-10-14,Curitiba,"Monitor 27""",1200.0,1,Cliente_22864,1200.0,Presencial,Sul
311,2024-12-07,Curitiba,Cabo HDMI,40.0,1,Cliente_14964,40.0,Presencial,Sul
315,2024-12-21,Curitiba,Smartphone Samsung,2200.0,2,Cliente_3703,4400.0,Presencial,Sul
323,2023-11-20,Curitiba,iPhone 14,5500.0,1,Cliente_18587,5500.0,Presencial,Sul
326,2023-11-20,Curitiba,Teclado Mecânico,250.0,1,Cliente_15736,250.0,Presencial,Sul
329,2024-03-03,Curitiba,Cabo HDMI,40.0,1,Cliente_8707,40.0,Presencial,Sul
334,2024-09-22,Curitiba,Smartphone Samsung,2200.0,1,Cliente_29624,2200.0,Presencial,Sul
340,2024-09-09,Curitiba,iPhone 14,5500.0,1,Cliente_11642,5500.0,Presencial,Sul
346,2024-03-03,Curitiba,Mouse Gamer,120.0,1,Cliente_13760,120.0,Presencial,Sul
357,2024-03-07,Curitiba,Notebook HP,3200.0,1,Cliente_8511,3200.0,Presencial,Sul
363,2024-09-29,Curitiba,Notebook Dell,3500.0,1,Cliente_3804,3500.0,Presencial,Sul
366,2024-06-20,Curitiba,Mouse Gamer,120.0,1,Cliente_1920,120.0,Presencial,Sul
372,2023-04-22,Curitiba,Cabo HDMI,40.0,2,Cliente_23771,80.0,Presencial,Sul
382,2023-12-05,Curitiba,Teclado Mecânico,250.0,1,Cliente_16463,250.0,Presencial,Sul
385,2024-08-10,Curitiba,"Monitor 27""",1200.0,1,Cliente_7429,1200.0,Presencial,Sul
387,2024-04-01,Curitiba,Smartphone Samsung,2200.0,1,Cliente_23998,2200.0,Presencial,Sul
388,2023-06-16,Curitiba,Mouse Gamer,120.0,1,Cliente_15755,120.0,Presencial,Sul
391,2024-03-31,Curitiba,Smartphone Samsung,2200.0,1,Cliente_9445,2200.0,Presencial,Sul
393,2023-10-05,Curitiba,Cabo HDMI,40.0,1,Cliente_28137,40.0,Presencial,Sul
394,2024-04-16,Curitiba,Cabo HDMI,40.0,2,Cliente_410,80.0,Presencial,Sul
395,2023-06-28,Curitiba,Smartphone Samsung,2200.0,1,Cliente_9715,2200.0,Presencial,Sul
397,2023-06-27,Curitiba,Cabo HDMI,40.0,1,Cliente_29254,40.0,Presencial,Sul
406,2023-01-30,Curitiba,iPhone 14,5500.0,1,Cliente_16332,5500.0,Presencial,Sul
410,2024-01-30,Curitiba,Teclado Mecânico,250.0,3,Cliente_24294,750.0,Presencial,Sul
413,2024-11-08,Curitiba,Teclado Mecânico,250.0,2,Cliente_21004,500.0,Presencial,Sul
422,2023-05-02,Curitiba,Notebook HP,3200.0,1,Cliente_11916,3200.0,Presencial,Sul
441,2023-08-24,Curitiba,Notebook Dell,3500.0,1,Cliente_5314,3500.0,Presencial,Sul
446,2024-10-04,Curitiba,Smartphone Samsung,2200.0,1,Cliente_16725,2200.0,Presencial,Sul
447,2024-09-30,Curitiba,Smartphone Samsung,2200.0,1,Cliente_25,2200.0,Presencial,Sul
451,2023-09-29,Curitiba,Teclado Mecânico,250.0,1,Cliente_13610,250.0,Presencial,Sul
457,2024-07-31,Curitiba,Teclado Mecânico,250.0,1,Cliente_26074,250.0,Presencial,Sul
466,2023-09-05,Curitiba,Mouse Gamer,120.0,1,Cliente_16891,120.0,Presencial,Sul
474,2024-06-21,Curitiba,iPhone 14,5500.0,1,Cliente_6154,5500.0,Presencial,Sul
477,2024-08-28,Curitiba,Notebook Dell,3500.0,1,Cliente_16231,3500.0,Presencial,Sul
480,2024-07-06,Curitiba,iPhone 14,5500.0,1,Cliente_10757,5500.0,Presencial,Sul
482,2024-10-22,Curitiba,Teclado Mecânico,250.0,1,Cliente_5434,250.0,Presencial,Sul
491,2023-11-23,Curitiba,Cabo HDMI,40.0,1,Cliente_9118,40.0,Presencial,Sul
495,2023-05-05,Curitiba,"Monitor 27""",1200.0,1,Cliente_2422,1200.0,Presencial,Sul
508,2023-04-24,Curitiba,Smartphone Samsung,2200.0,1,Cliente_10889,2200.0,Presencial,Sul
515,2023-11-05,Curitiba,Notebook HP,3200.0,2,Cliente_28879,6400.0,Presencial,Sul
522,2024-07-23,Curitiba,Mouse Gamer,120.0,1,Cliente_23123,120.0,Presencial,Sul
527,2023-03-03,Curitiba,Smartphone Samsung,2200.0,1,Cliente_11710,2200.0,Presencial,Sul
530,2023-11-25,Curitiba,Notebook HP,3200.0,1,Cliente_29129,3200.0,Presencial,Sul
533,2024-05-26,Curitiba,Notebook Dell,3500.0,1,Cliente_17172,3500.0,Presencial,Sul
538,2024-10-17,Curitiba,Mouse Gamer,120.0,3,Cliente_8323,360.0,Presencial,Sul
545,2024-05-02,Curitiba,Notebook Dell,3500.0,5,Cliente_2151,17500.0,Presencial,Sul
550,2023-04-11,Curitiba,Mouse Gamer,120.0,1,Cliente_27975,120.0,Presencial,Sul
571,2024-02-03,Curitiba,Teclado Mecânico,250.0,1,Cliente_5261,250.0,Presencial,Sul
589,2023-09-11,Curitiba,iPhone 14,5500.0,1,Cliente_4704,5500.0,Presencial,Sul
600,2024-10-12,Curitiba,Teclado Mecânico,250.0,2,Cliente_22920,500.0,Presencial,Sul
601,2024-08-12,Curitiba,"Monitor 27""",1200.0,1,Cliente_22587,1200.0,Presencial,Sul
602,2024-02-12,Curitiba,Cabo HDMI,40.0,1,Cliente_139,40.0,Presencial,Sul
606,2023-05-13,Curitiba,Smartphone Samsung,2200.0,1,Cliente_7632,2200.0,Presencial,Sul
611,2023-04-29,Curitiba,"Monitor 27""",1200.0,1,Cliente_27677,1200.0,Presencial,Sul
613,2024-02-16,Curitiba,iPhone 14,5500.0,1,Cliente_7188,5500.0,Presencial,Sul
623,2024-11-12,Curitiba,Mouse Gamer,120.0,1,Cliente_5927,120.0,Presencial,Sul
644,2024-05-02,Curitiba,Notebook Dell,3500.0,1,Cliente_1130,3500.0,Presencial,Sul
647,2023-08-27,Curitiba,"Monitor 27""",1200.0,1,Cliente_4912,1200.0,Presencial,Sul
653,2023-04-29,Curitiba,Mouse Gamer,120.0,1,Cliente_5471,120.0,Presencial,Sul
673,2023-06-30,Curitiba,Teclado Mecânico,250.0,1,Cliente_13867,250.0,Presencial,Sul
675,2024-09-05,Curitiba,iPhone 14,5500.0,1,Cliente_820,5500.0,Presencial,Sul
676,2023-01-24,Curitiba,"Monitor 27""",1200.0,1,Cliente_3502,1200.0,Presencial,Sul
697,2023-02-10,Curitiba,Mouse Gamer,120.0,2,Cliente_24728,240.0,Presencial,Sul
701,2023-09-21,Curitiba,Notebook HP,3200.0,1,Cliente_21591,3200.0,Presencial,Sul
703,2023-01-09,Curitiba,Notebook Dell,3500.0,2,Cliente_6113,7000.0,Presencial,Sul
709,2024-04-24,Curitiba,Cabo HDMI,40.0,2,Cliente_1339,80.0,Presencial,Sul
741,2024-02-07,Curitiba,Mouse Gamer,120.0,1,Cliente_24106,120.0,Presencial,Sul
743,2023-05-26,Curitiba,Notebook HP,3200.0,1,Cliente_6176,3200.0,Presencial,Sul
745,2023-06-02,Curitiba,Smartphone Samsung,2200.0,5,Cliente_2545,11000.0,Presencial,Sul
749,2024-07-11,Curitiba,Notebook Dell,3500.0,1,Cliente_14311,3500.0,Presencial,Sul
750,2024-12-24,Curitiba,Notebook HP,3200.0,1,Cliente_26077,3200.0,Presencial,Sul
757,2023-11-10,Curitiba,Notebook HP,3200.0,1,Cliente_16091,3200.0,Presencial,Sul
775,2024-05-29,Curitiba,Notebook HP,3200.0,1,Cliente_17567,3200.0,Presencial,Sul
782,2023-04-06,Curitiba,Smartphone Samsung,2200.0,1,Cliente_23129,2200.0,Presencial,Sul
797,2024-01-15,Curitiba,"Monitor 27""",1200.0,1,Cliente_27210,1200.0,Presencial,Sul
798,2023-11-03,Curitiba,Mouse Gamer,120.0,2,Cliente_28522,240.0,Presencial,Sul
802,2024-11-14,Curitiba,Teclado Mecânico,250.0,1,Cliente_7838,250.0,Presencial,Sul
808,2023-05-11,Curitiba,Notebook Dell,3500.0,1,Cliente_2424,3500.0,Presencial,Sul
809,2023-12-25,Curitiba,Teclado Mecânico,250.0,1,Cliente_15778,250.0,Presencial,Sul
824,2024-01-13,Curitiba,Mouse Gamer,120.0,1,Cliente_29458,120.0,Presencial,Sul
828,2024-02-23,Curitiba,Notebook HP,3200.0,1,Cliente_19548,3200.0,Presencial,Sul
833,2023-01-31,Curitiba,Smartphone Samsung,2200.0,1,Cliente_12058,2200.0,Presencial,Sul
864,2024-10-25,Curitiba,Notebook HP,3200.0,2,Cliente_9586,6400.0,Presencial,Sul
865,2023-10-13,Curitiba,iPhone 14,5500.0,1,Cliente_10184,5500.0,Presencial,Sul
867,2024-07-06,Curitiba,"Monitor 27""",1200.0,1,Cliente_29989,1200.0,Presencial,Sul
869,2024-05-01,Curitiba,Mouse Gamer,120.0,1,Cliente_14270,120.0,Presencial,Sul
874,2023-01-21,Curitiba,Notebook Dell,3500.0,1,Cliente_13706,3500.0,Presencial,Sul
885,2024-02-28,Curitiba,Cabo HDMI,40.0,1,Cliente_6245,40.0,Presencial,Sul
888,2023-02-24,Curitiba,Teclado Mecânico,250.0,1,Cliente_29907,250.0,Presencial,Sul
889,2023-12-09,Curitiba,iPhone 14,5500.0,1,Cliente_16554,5500.0,Presencial,Sul
914,2024-12-13,Curitiba,Notebook HP,3200.0,1,Cliente_22725,3200.0,Presencial,Sul
917,2023-09-29,Curitiba,Notebook HP,3200.0,1,Cliente_11451,3200.0,Presencial,Sul
918,2023-02-23,Curitiba,iPhone 14,5500.0,1,Cliente_10011,5500.0,Presencial,Sul
923,2024-04-17,Curitiba,Notebook Dell,3500.0,1,Cliente_6100,3500.0,Presencial,Sul
931,2023-06-01,Curitiba,Mouse Gamer,120.0,1,Cliente_2382,120.0,Presencial,Sul
946,2023-07-13,Curitiba,Mouse Gamer,120.0,1,Cliente_19664,120.0,Presencial,Sul
947,2023-12-20,Curitiba,"Monitor 27""",1200.0,1,Cliente_28244,1200.0,Presencial,Sul
952,2023-12-26,Curitiba,iPhone 14,5500.0,1,Cliente_18500,5500.0,Presencial,Sul
961,2023-10-28,Curitiba,Notebook Dell,3500.0,1,Cliente_9120,3500.0,Presencial,Sul
963,2023-03-18,Curitiba,Teclado Mecânico,250.0,2,Cliente_27946,500.0,Presencial,Sul
978,2024-07-14,Curitiba,Cabo HDMI,40.0,1,Cliente_2209,40.0,Presencial,Sul
979,2024-10-07,Curitiba,Cabo HDMI,40.0,1,Cliente_17244,40.0,Presencial,Sul
981,2024-08-20,Curitiba,iPhone 14,5500.0,1,Cliente_28793,5500.0,Presencial,Sul
987,2023-10-01,Curitiba,iPhone 14,5500.0,2,Cliente_3007,11000.0,Presencial,Sul
991,2023-11-12,Curitiba,Notebook HP,3200.0,1,Cliente_5420,3200.0,Presencial,Sul
993,2023-03-27,Curitiba,Notebook HP,3200.0,2,Cliente_10456,6400.0,Presencial,Sul
996,2023-10-01,Curitiba,"Monitor 27""",1200.0,1,Cliente_4312,1200.0,Presencial,Sul
1001,2023-10-14,Curitiba,Teclado Mecânico,250.0,1,Cliente_24906,250.0,Presencial,Sul
1002,2023-10-12,Curitiba,Mouse Gamer,120.0,1,Cliente_23346,120.0,Presencial,Sul
1010,2024-10-13,Curitiba,Cabo HDMI,40.0,1,Cliente_9558,40.0,Presencial,Sul
1014,2023-11-23,Curitiba,Smartphone Samsung,2200.0,1,Cliente_28175,2200.0,Presencial,Sul
1017,2024-08-11,Curitiba,Notebook HP,3200.0,1,Cliente_5488,3200.0,Presencial,Sul
1026,2024-01-27,Curitiba,Teclado Mecânico,250.0,5,Cliente_28864,1250.0,Presencial,Sul
1028,2023-02-19,Curitiba,Smartphone Samsung,2200.0,1,Cliente_15715,2200.0,Presencial,Sul
1029,2023-04-20,Curitiba,"Monitor 27""",1200.0,1,Cliente_946,1200.0,Presencial,Sul
1042,2024-01-27,Curitiba,Notebook HP,3200.0,1,Cliente_19536,3200.0,Presencial,Sul
1044,2023-12-09,Curitiba,Notebook Dell,3500.0,1,Cliente_15045,3500.0,Presencial,Sul
1047,2024-12-07,Curitiba,Smartphone Samsung,2200.0,1,Cliente_8589,2200.0,Presencial,Sul
1048,2024-07-03,Curitiba,Notebook Dell,3500.0,1,Cliente_13024,3500.0,Presencial,Sul
1051,2023-12-30,Curitiba,Notebook HP,3200.0,1,Cliente_7107,3200.0,Presencial,Sul
1057,2024-03-20,Curitiba,Cabo HDMI,40.0,3,Cliente_15470,120.0,Presencial,Sul
1058,2023-04-23,Curitiba,Mouse Gamer,120.0,1,Cliente_26930,120.0,Presencial,Sul
1064,2023-02-25,Curitiba,"Monitor 27""",1200.0,2,Cliente_7241,2400.0,Presencial,Sul
1076,2024-04-13,Curitiba,"Monitor 27""",1200.0,2,Cliente_5364,2400.0,Presencial,Sul
1080,2023-02-03,Curitiba,Notebook Dell,3500.0,1,Cliente_12914,3500.0,Presencial,Sul
1081,2024-09-30,Curitiba,Smartphone Samsung,2200.0,1,Cliente_1058,2200.0,Presencial,Sul
1087,2024-03-15,Curitiba,Notebook Dell,3500.0,1,Cliente_6048,3500.0,Presencial,Sul
1092,2023-06-24,Curitiba,Mouse Gamer,120.0,1,Cliente_14959,120.0,Presencial,Sul
1098,2023-07-27,Curitiba,Teclado Mecânico,250.0,1,Cliente_22942,250.0,Presencial,Sul
1106,2024-05-09,Curitiba,iPhone 14,5500.0,1,Cliente_23123,5500.0,Presencial,Sul
1116,2023-12-11,Curitiba,Mouse Gamer,120.0,1,Cliente_13555,120.0,Presencial,Sul
1133,2023-04-08,Curitiba,Teclado Mecânico,250.0,5,Cliente_24846,1250.0,Presencial,Sul
1147,2023-10-10,Curitiba,Mouse Gamer,120.0,10,Cliente_16385,1200.0,Presencial,Sul
1158,2024-05-09,Curitiba,Notebook Dell,3500.0,1,Cliente_25239,3500.0,Presencial,Sul
1163,2023-01-30,Curitiba,Notebook HP,3200.0,1,Cliente_23139,3200.0,Presencial,Sul
1165,2024-06-27,Curitiba,"Monitor 27""",1200.0,1,Cliente_15891,1200.0,Presencial,Sul
1168,2023-11-12,Curitiba,Teclado Mecânico,250.0,1,Cliente_2800,250.0,Presencial,Sul
1174,2024-01-25,Curitiba,Mouse Gamer,120.0,1,Cliente_1725,120.0,Presencial,Sul
1178,2023-02-18,Curitiba,Cabo HDMI,40.0,5,Cliente_13615,200.0,Presencial,Sul
1182,2024-10-07,Curitiba,Cabo HDMI,40.0,1,Cliente_10314,40.0,Presencial,Sul
1185,2024-09-17,Curitiba,Cabo HDMI,40.0,1,Cliente_24975,40.0,Presencial,Sul
1189,2024-04-06,Curitiba,Smartphone Samsung,2200.0,1,Cliente_19447,2200.0,Presencial,Sul
1190,2023-10-22,Curitiba,Cabo HDMI,40.0,1,Cliente_5303,40.0,Presencial,Sul
1193,2023-11-29,Curitiba,"Monitor 27""",1200.0,2,Cliente_15548,2400.0,Presencial,Sul
1209,2023-09-08,Curitiba,Notebook Dell,3500.0,2,Cliente_24824,7000.0,Presencial,Sul
1215,2023-01-09,Curitiba,Notebook HP,3200.0,1,Cliente_17515,3200.0,Presencial,Sul
1235,2024-10-29,Curitiba,Notebook HP,3200.0,1,Cliente_25141,3200.0,Presencial,Sul
1245,2023-08-10,Curitiba,Mouse Gamer,120.0,1,Cliente_6353,120.0,Presencial,Sul
1269,2023-05-12,Curitiba,"Monitor 27""",1200.0,1,Cliente_5346,1200.0,Presencial,Sul
1274,2023-03-18,Curitiba,Smartphone Samsung,2200.0,1,Cliente_24003,2200.0,Presencial,Sul
1287,2023-03-18,Curitiba,Notebook HP,3200.0,1,Cliente_4414,3200.0,Presencial,Sul
1289,2023-11-04,Curitiba,iPhone 14,5500.0,1,Cliente_14854,5500.0,Presencial,Sul
1290,2024-11-28,Curitiba,Notebook Dell,3500.0,1,Cliente_565,3500.0,Presencial,Sul
1300,2023-11-13,Curitiba,Notebook HP,3200.0,1,Cliente_5293,3200.0,Presencial,Sul
1301,2024-12-06,Curitiba,Mouse Gamer,120.0,1,Cliente_15648,120.0,Presencial,Sul
1314,2024-10-11,Curitiba,"Monitor 27""",1200.0,1,Cliente_8933,1200.0,Presencial,Sul
1323,2023-08-13,Curitiba,"Monitor 27""",1200.0,1,Cliente_27202,1200.0,Presencial,Sul
1324,2024-05-09,Curitiba,Teclado Mecânico,250.0,2,Cliente_28499,500.0,Presencial,Sul
1335,2023-05-20,Curitiba,iPhone 14,5500.0,2,Cliente_1950,11000.0,Presencial,Sul
1338,2023-08-28,Curitiba,Teclado Mecânico,250.0,1,Cliente_25292,250.0,Presencial,Sul
1339,2023-12-19,Curitiba,Teclado Mecânico,250.0,5,Cliente_2542,1250.0,Presencial,Sul
1348,2024-11-08,Curitiba,Mouse Gamer,120.0,1,Cliente_19575,120.0,Presencial,Sul
1350,2023-12-15,Curitiba,"Monitor 27""",1200.0,1,Cliente_20339,1200.0,Presencial,Sul
1352,2023-06-14,Curitiba,Cabo HDMI,40.0,1,Cliente_19433,40.0,Presencial,Sul
1363,2024-11-15,Curitiba,Notebook Dell,3500.0,1,Cliente_16216,3500.0,Presencial,Sul
1403,2024-12-18,Curitiba,Notebook Dell,3500.0,1,Cliente_16244,3500.0,Presencial,Sul
1423,2024-05-11,Curitiba,Smartphone Samsung,2200.0,1,Cliente_16914,2200.0,Presencial,Sul
1424,2023-05-21,Curitiba,Mouse Gamer,120.0,1,Cliente_11800,120.0,Presencial,Sul
1426,2024-10-16,Curitiba,Teclado Mecânico,250.0,2,Cliente_18338,500.0,Presencial,Sul
1436,2023-07-13,Curitiba,Notebook HP,3200.0,1,Cliente_9621,3200.0,Presencial,Sul
1440,2024-10-01,Curitiba,Smartphone Samsung,2200.0,2,Cliente_24021,4400.0,Presencial,Sul
1449,2023-06-20,Curitiba,Teclado Mecânico,250.0,1,Cliente_12365,250.0,Presencial,Sul
1471,2023-04-09,Curitiba,"Monitor 27""",1200.0,1,Cliente_12529,1200.0,Presencial,Sul
1480,2023-06-14,Curitiba,Cabo HDMI,40.0,5,Cliente_26834,200.0,Presencial,Sul
1489,2024-01-18,Curitiba,Notebook Dell,3500.0,1,Cliente_29890,3500.0,Presencial,Sul
1500,2023-11-30,Curitiba,Mouse Gamer,120.0,1,Cliente_6348,120.0,Presencial,Sul
1503,2024-12-27,Curitiba,Teclado Mecânico,250.0,1,Cliente_7932,250.0,Presencial,Sul
1515,2023-08-24,Curitiba,iPhone 14,5500.0,2,Cliente_7542,11000.0,Presencial,Sul
1532,2023-08-26,Curitiba,Notebook HP,3200.0,1,Cliente_26662,3200.0,Presencial,Sul
1542,2024-06-22,Curitiba,Mouse Gamer,120.0,1,Cliente_6997,120.0,Presencial,Sul
1547,2023-05-31,Curitiba,Cabo HDMI,40.0,1,Cliente_12596,40.0,Presencial,Sul
1549,2023-02-15,Curitiba,"Monitor 27""",1200.0,1,Cliente_22884,1200.0,Presencial,Sul
1554,2023-06-27,Curitiba,iPhone 14,5500.0,5,Cliente_15484,27500.0,Presencial,Sul
1573,2024-05-21,Curitiba,Teclado Mecânico,250.0,1,Cliente_6911,250.0,Presencial,Sul
1576,2023-09-02,Curitiba,Mouse Gamer,120.0,1,Cliente_22438,120.0,Presencial,Sul
1577,2024-09-24,Curitiba,Mouse Gamer,120.0,1,Cliente_18216,120.0,Presencial,Sul
1591,2024-05-16,Curitiba,iPhone 14,5500.0,1,Cliente_7631,5500.0,Presencial,Sul
1633,2024-12-04,Curitiba,Cabo HDMI,40.0,1,Cliente_13359,40.0,Presencial,Sul
1637,2023-11-29,Curitiba,Notebook Dell,3500.0,1,Cliente_5765,3500.0,Presencial,Sul
1640,2023-06-03,Curitiba,Notebook HP,3200.0,1,Cliente_22177,3200.0,Presencial,Sul
1649,2024-09-18,Curitiba,Notebook Dell,3500.0,1,Cliente_15270,3500.0,Presencial,Sul
1650,2024-10-06,Curitiba,Notebook HP,3200.0,1,Cliente_115,3200.0,Presencial,Sul
1664,2024-10-05,Curitiba,Smartphone Samsung,2200.0,3,Cliente_7941,6600.0,Presencial,Sul
1666,2023-03-21,Curitiba,Teclado Mecânico,250.0,1,Cliente_11251,250.0,Presencial,Sul
1672,2023-05-25,Curitiba,"Monitor 27""",1200.0,1,Cliente_7654,1200.0,Presencial,Sul
1676,2024-03-19,Curitiba,"Monitor 27""",1200.0,1,Cliente_16202,1200.0,Presencial,Sul
1692,2023-10-24,Curitiba,Teclado Mecânico,250.0,1,Cliente_3293,250.0,Presencial,Sul
1702,2023-07-12,Curitiba,Teclado Mecânico,250.0,1,Cliente_6421,250.0,Presencial,Sul
1703,2023-01-25,Curitiba,Mouse Gamer,120.0,2,Cliente_27863,240.0,Presencial,Sul
1716,2023-04-14,Curitiba,Cabo HDMI,40.0,1,Cliente_11710,40.0,Presencial,Sul
1717,2024-08-09,Curitiba,Cabo HDMI,40.0,1,Cliente_12509,40.0,Presencial,Sul
1720,2023-03-28,Curitiba,Notebook Dell,3500.0,1,Cliente_24841,3500.0,Presencial,Sul
1723,2024-10-26,Curitiba,Mouse Gamer,120.0,1,Cliente_23639,120.0,Presencial,Sul
1738,2024-03-22,Curitiba,Mouse Gamer,120.0,5,Cliente_950,600.0,Presencial,Sul
1740,2024-05-01,Curitiba,Smartphone Samsung,2200.0,1,Cliente_18507,2200.0,Presencial,Sul
1755,2023-11-06,Curitiba,"Monitor 27""",1200.0,1,Cliente_18803,1200.0,Presencial,Sul
1765,2024-05-29,Curitiba,"Monitor 27""",1200.0,1,Cliente_10447,1200.0,Presencial,Sul
1768,2023-01-11,Curitiba,Notebook Dell,3500.0,1,Cliente_2210,3500.0,Presencial,Sul
1769,2024-07-30,Curitiba,Mouse Gamer,120.0,1,Cliente_24138,120.0,Presencial,Sul
1772,2023-08-29,Curitiba,Smartphone Samsung,2200.0,1,Cliente_6500,2200.0,Presencial,Sul
1777,2024-02-04,Curitiba,Notebook HP,3200.0,1,Cliente_4200,3200.0,Presencial,Sul
1785,2024-08-23,Curitiba,Smartphone Samsung,2200.0,1,Cliente_20006,2200.0,Presencial,Sul
1788,2023-05-17,Curitiba,iPhone 14,5500.0,1,Cliente_26454,5500.0,Presencial,Sul
1789,2024-02-05,Curitiba,"Monitor 27""",1200.0,2,Cliente_961,2400.0,Presencial,Sul
1791,2023-09-12,Curitiba,"Monitor 27""",1200.0,1,Cliente_4654,1200.0,Presencial,Sul
1795,2023-05-21,Curitiba,Cabo HDMI,40.0,1,Cliente_6297,40.0,Presencial,Sul
1796,2023-07-24,Curitiba,Notebook HP,3200.0,1,Cliente_25407,3200.0,Presencial,Sul
1808,2023-04-27,Curitiba,"Monitor 27""",1200.0,1,Cliente_8668,1200.0,Presencial,Sul
1818,2023-06-09,Curitiba,Mouse Gamer,120.0,1,Cliente_4672,120.0,Presencial,Sul
1820,2023-08-13,Curitiba,Smartphone Samsung,2200.0,1,Cliente_19324,2200.0,Presencial,Sul
1831,2024-02-19,Curitiba,Notebook HP,3200.0,1,Cliente_26123,3200.0,Presencial,Sul
1836,2023-09-17,Curitiba,Notebook HP,3200.0,1,Cliente_22349,3200.0,Presencial,Sul
1838,2024-03-12,Curitiba,iPhone 14,5500.0,2,Cliente_6482,11000.0,Presencial,Sul
1848,2024-04-28,Curitiba,Cabo HDMI,40.0,5,Cliente_26341,200.0,Presencial,Sul
1856,2023-08-21,Curitiba,Notebook HP,3200.0,1,Cliente_20403,3200.0,Presencial,Sul
1876,2023-12-03,Curitiba,Cabo HDMI,40.0,3,Cliente_13883,120.0,Presencial,Sul
